2026-03-28 21:08:11,270 | pddl_planner.planner | DEBUG | Building SSA for predicate: the agent is holding any objects
2026-03-28 21:08:36,538 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,538 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,539 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,539 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,539 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,540 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,540 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:36,540 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,540 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,540 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,540 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,540 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,542 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,542 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:36,542 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,542 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,542 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,542 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,542 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,544 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,544 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:36,544 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,544 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,545 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,545 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,545 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,545 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,545 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:36,545 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,545 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,545 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,545 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,545 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,546 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,546 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:36,546 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:36,546 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:36,546 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:36,546 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:36,546 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:36,554 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:36,554 | pddl_planner.llm | DEBUG | Substitution: {orange: red} between "is on top of(orange, red)" and "block  is directly above block(orange, orange)"
2026-03-28 21:08:36,554 | pddl_planner.llm | DEBUG | Permutation: (red,) for keys [orange]
2026-03-28 21:08:36,554 | pddl_planner.llm | DEBUG | Querying LLM for 5 additional samples
2026-03-28 21:08:37,205 | pddl_planner.llm | DEBUG | API call completed in 0.651s (model=gpt-5.4-mini)
2026-03-28 21:08:37,921 | pddl_planner.llm | DEBUG | API call completed in 0.715s (model=gpt-5.4-mini)
2026-03-28 21:08:38,488 | pddl_planner.llm | DEBUG | API call completed in 0.566s (model=gpt-5.4-mini)
2026-03-28 21:08:39,174 | pddl_planner.llm | DEBUG | API call completed in 0.686s (model=gpt-5.4-mini)
2026-03-28 21:08:39,737 | pddl_planner.llm | DEBUG | API call completed in 0.562s (model=gpt-5.4-mini)
2026-03-28 21:08:39,738 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block red is directly above block red"? 0/5 yes ([False, False, False, False, False])
2026-03-28 21:08:39,738 | pddl_planner.llm | WARNING | No entailment found for "orange is on top of red" against 1 candidates
2026-03-28 21:08:39,740 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,740 | pddl_planner.llm | DEBUG | Substitution: {orange: red, red: orange} between "is on top of(orange, red)" and "block  is directly above block(red, orange)"
2026-03-28 21:08:39,740 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, red]
2026-03-28 21:08:39,741 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, red]
2026-03-28 21:08:39,741 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,741 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,741 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,742 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,743 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,743 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,743 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,743 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,743 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,743 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,745 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,745 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,745 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,745 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,745 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,745 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,745 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,746 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,746 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,746 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,746 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,746 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,746 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,746 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,748 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,748 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,748 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,748 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,748 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,748 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,748 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,750 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,751 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,751 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,751 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,751 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,752 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,752 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,752 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,752 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,752 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,752 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,752 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,752 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,752 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,752 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,753 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,753 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,753 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,753 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Substitution: {orange: red} between "is on top of(orange, red)" and "block  is directly above block(orange, orange)"
2026-03-28 21:08:39,753 | pddl_planner.llm | DEBUG | Permutation: (red,) for keys [orange]
2026-03-28 21:08:39,754 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block red is directly above block red"
2026-03-28 21:08:39,754 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block red is directly above block red"? 0/5 yes ([False, False, False, False, False])
2026-03-28 21:08:39,754 | pddl_planner.llm | WARNING | No entailment found for "orange is on top of red" against 1 candidates
2026-03-28 21:08:39,787 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,787 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,787 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,787 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,787 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,787 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,787 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,789 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,789 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,789 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,789 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,789 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,789 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,789 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,791 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,791 | pddl_planner.llm | DEBUG | Substitution: {orange: red, red: orange} between "is on top of(orange, red)" and "block  is directly above block(red, orange)"
2026-03-28 21:08:39,791 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, red]
2026-03-28 21:08:39,791 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, red]
2026-03-28 21:08:39,792 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,792 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,792 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,793 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,793 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,793 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,794 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,794 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,794 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,794 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,795 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,795 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,795 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,795 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,796 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,796 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,796 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,797 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,797 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,797 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,797 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,797 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,797 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,797 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,801 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,801 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,801 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,801 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,802 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,802 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,802 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,802 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,802 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,802 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,802 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,802 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,802 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,802 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,803 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,803 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,803 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,803 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,803 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,803 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,803 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,804 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,804 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,804 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,804 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,804 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,805 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,805 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,805 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,850 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,850 | pddl_planner.llm | DEBUG | Substitution: {orange: red, ?V46: orange} between "is on top of(orange, red)" and "block  is directly above block(?V46, orange)"
2026-03-28 21:08:39,850 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [orange, ?V46]
2026-03-28 21:08:39,850 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [orange, ?V46]
2026-03-28 21:08:39,850 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,850 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,850 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,850 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,851 | pddl_planner.llm | DEBUG | Substitution: {?V46: red, ?V82: orange} between "is on top of(orange, red)" and "block  is directly above block(?V82, ?V46)"
2026-03-28 21:08:39,851 | pddl_planner.llm | DEBUG | Trying 2 substitution permutations for keys [?V46, ?V82]
2026-03-28 21:08:39,851 | pddl_planner.llm | DEBUG | Permutation: (red, orange) for keys [?V46, ?V82]
2026-03-28 21:08:39,851 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,851 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
2026-03-28 21:08:39,851 | pddl_planner.llm | INFO | Entailment found: "is on top of(orange, red)" -> "block  is directly above block"
2026-03-28 21:08:39,853 | pddl_planner.llm | INFO | Checking entailment for "orange is on top of red"
2026-03-28 21:08:39,853 | pddl_planner.llm | DEBUG | Substitution: {?V82: orange} between "is on top of(orange, red)" and "block  is directly above block(?V82, red)"
2026-03-28 21:08:39,853 | pddl_planner.llm | DEBUG | Permutation: (orange,) for keys [?V82]
2026-03-28 21:08:39,853 | pddl_planner.llm | DEBUG | Cache hit: 5/5 samples for "orange is on top of red" vs "block orange is directly above block red"
2026-03-28 21:08:39,853 | pddl_planner.llm | INFO | Entailment vote: "orange is on top of red" entailed by "block orange is directly above block red"? 5/5 yes ([True, True, True, True, True])
